                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                  6e-05,                0.50806,                      1,                 1.0039,              0.0079804,              0.0079804,              0.0079804
                    104,                0.00047,                0.50403,                      1,                  1.005,              0.0079606,              0.0079606,              0.0079606
                    105,                0.00018,                0.47984,                      1,                  1.011,              0.0079408,              0.0079408,              0.0079408
                    106,                0.00067,                0.47177,                      1,                  1.019,               0.007921,               0.007921,               0.007921
                    107,                0.00038,                0.49194,                      1,                 1.0169,              0.0079012,              0.0079012,              0.0079012
                    108,                0.00078,                0.47984,                      1,                 1.0133,              0.0078814,              0.0078814,              0.0078814
                    109,                0.00311,                0.52016,                      1,                0.98812,              0.0078616,              0.0078616,              0.0078616
                    110,                0.00045,                 0.5121,                      1,                0.99026,              0.0078418,              0.0078418,              0.0078418
                    111,                0.00026,                0.49597,                      1,                 1.0048,               0.007822,               0.007822,               0.007822
                    112,                0.00018,                 0.4879,                      1,                 1.0109,              0.0078022,              0.0078022,              0.0078022
                    113,                0.00033,                0.48387,                      1,                 1.0143,              0.0077824,              0.0077824,              0.0077824
                    114,                0.00029,                0.49194,                      1,                 1.0099,              0.0077626,              0.0077626,              0.0077626
                    115,                0.00039,                    0.5,                      1,                 1.0065,              0.0077428,              0.0077428,              0.0077428
                    116,                0.00013,                0.49597,                      1,                 1.0097,               0.007723,               0.007723,               0.007723
                    117,                0.00011,                0.47984,                      1,                 1.0105,              0.0077032,              0.0077032,              0.0077032
                    118,                  5e-05,                0.49194,                      1,                 1.0068,              0.0076834,              0.0076834,              0.0076834
                    119,                0.00026,                0.52823,                      1,                0.98701,              0.0076636,              0.0076636,              0.0076636
                    120,                0.00014,                0.52016,                      1,                0.98558,              0.0076438,              0.0076438,              0.0076438
                    121,                  8e-05,                 0.5121,                      1,                0.98879,               0.007624,               0.007624,               0.007624
                    122,                  8e-05,                0.52823,                      1,                0.99101,              0.0076042,              0.0076042,              0.0076042
                    123,                  6e-05,                0.52823,                      1,                0.98997,              0.0075844,              0.0075844,              0.0075844
                    124,                 0.0002,                0.52419,                      1,                0.99081,              0.0075646,              0.0075646,              0.0075646
                    125,                  8e-05,                 0.5121,                      1,                0.99071,              0.0075448,              0.0075448,              0.0075448
                    126,                  6e-05,                0.51613,                      1,                0.99103,               0.007525,               0.007525,               0.007525
                    127,                0.00011,                0.51613,                      1,                 0.9918,              0.0075052,              0.0075052,              0.0075052
                    128,                  8e-05,                0.51613,                      1,                0.99665,              0.0074854,              0.0074854,              0.0074854
                    129,                  7e-05,                0.52016,                      1,                0.99171,              0.0074656,              0.0074656,              0.0074656
                    130,                0.00013,                0.52419,                      1,                0.98913,              0.0074458,              0.0074458,              0.0074458
                    131,                0.00012,                0.52016,                      1,                0.99491,               0.007426,               0.007426,               0.007426
                    132,                  5e-05,                0.51613,                      1,                0.99627,              0.0074062,              0.0074062,              0.0074062
                    133,                  3e-05,                0.52016,                      1,                0.99491,              0.0073864,              0.0073864,              0.0073864
                    134,                  3e-05,                 0.5121,                      1,                0.99257,              0.0073666,              0.0073666,              0.0073666
                    135,                  4e-05,                0.52016,                      1,                0.99107,              0.0073468,              0.0073468,              0.0073468
                    136,                  3e-05,                0.52016,                      1,                0.99073,               0.007327,               0.007327,               0.007327
                    137,                  5e-05,                0.50403,                      1,                0.98693,              0.0073072,              0.0073072,              0.0073072
                    138,                  3e-05,                0.50806,                      1,                0.98586,              0.0072874,              0.0072874,              0.0072874
                    139,                  4e-05,                0.50806,                      1,                0.98719,              0.0072676,              0.0072676,              0.0072676
                    140,                  2e-05,                    0.5,                      1,                0.98904,              0.0072478,              0.0072478,              0.0072478
                    141,                  2e-05,                0.50806,                      1,                0.98981,               0.007228,               0.007228,               0.007228
                    142,                  2e-05,                 0.5121,                      1,                0.98915,              0.0072082,              0.0072082,              0.0072082
                    143,                  2e-05,                0.50806,                      1,                0.98944,              0.0071884,              0.0071884,              0.0071884
                    144,                  3e-05,                 0.5121,                      1,                0.98947,              0.0071686,              0.0071686,              0.0071686
                    145,                  2e-05,                0.50806,                      1,                0.98964,              0.0071488,              0.0071488,              0.0071488
                    146,                0.00013,                 0.5121,                      1,                0.98992,               0.007129,               0.007129,               0.007129
                    147,                  3e-05,                 0.5121,                      1,                0.99822,              0.0071092,              0.0071092,              0.0071092
